project,t_per,x_per,l_per,o_per,s_per,count
plwikisource,0.0570906877662812,0.0861838101034693,0.148103063501724,0,0.708622438628525,24645
ptwikinews,0,0.0803999166840242,0,0,0.919600083315976,24005
itwikinews,0,0.023023825428635,0,0,0.976976174571365,22455
eswikinews,8.9629828807027e-05,0.08124943981357,0.000358519315228108,8.9629828807027e-05,0.918212781213588,22314
bhwiki,0.0255802936996684,0.0261961155850308,0.0144007579346281,0.182709616295595,0.751113216485078,21110
sawiki,0.0131114713454754,0.015447697148851,0,0.00867741012682369,0.96276342137885,20974
hsbwiki,0.00282973621103117,0.0495923261390887,0.000575539568345324,4.79616306954436e-05,0.946954436450839,20850
cswikiquote,0.265460542270941,0.265945578891206,0,0.0302662851045254,0.438327593733327,20617
ruwikivoyage,0.184037882898436,0.0329502293691116,0.316085433828244,0.226705470329996,0.240220983574212,20273
plwikivoyage,0.238738738738739,0.132232232232232,0.216316316316316,0.163313313313313,0.249399399399399,19980
plwikinews,0,0.0902474526928675,0,0,0.909752547307133,19923
oswiki,0.0141043723554302,0.0800926858754785,0.000302236550473504,0.000100745516824501,0.905399959701793,19852
maiwiki,0.149310292557223,0.14739022788136,0.0184932545096256,0.0912536001212672,0.593552624930524,19791
sahwiki,0.00989033514399918,0.0568822383929487,0.00276724402992723,0,0.930460182433125,19514
yiwiki,0.000420344682639765,0.051702395964691,0.00273224043715847,0.055380411937789,0.889764606977722,19032
vepwiki,0.0430616971994104,0.400926510844388,0.0862286797220467,0,0.469783112234155,18996
roa_tarawiki,0.00738513477870971,0.0259534736508941,0,0.409030964815108,0.557630426755288,18957
ukwikiquote,0.263991944032224,0.263991944032224,0,0.145537417850329,0.326478694085224,18868
amwiki,0,0.147485845619149,0,0.00056056953865127,0.8519535848422,17839
mhrwiki,0.0275885951748817,0.191734964792797,0.0715110238947247,0.000346300357843703,0.708819115779753,17326
xmfwiki,0.00667525471366671,0.0351914744115236,0.017390795175079,0.00158098137955264,0.939161494320178,17078
vecwiki,0,0.0562013181545836,0,0.00011983223487118,0.943678849610545,16690
gdwiki,0,0.0379215168606744,0,0,0.962078483139326,16666
bat_smgwiki,6.05803598473375e-05,0.0210819652268734,0,0,0.978857454413279,16507
jawikinews,0,0.253726802555522,0,0,0.746273197444478,16435
wawiki,0,0.175044388660993,0,0,0.824955611339007,16333
